-157174	В	Вайлд Оскар	Оскар		Вайлд	
-156859	Ц	Цаголов Василий	Василий		Цаголов	
-156858	Т	Титаренко Алексей	Алексей		Титаренко	
-156857	С	Соломуха Антон	Антон		Соломуха	
-156856	К	Кузьменко Андрей	Андрей		Кузьменко	
-156855	С	Сидор-Гибелинда Олег	Олег		Сидор-Гибелинда	
-156854	С	Семесюк Иван	Иван		Семесюк	
-156853	С	Савадов Арсен	Арсен		Савадов	
-156852	Р	Ралко Влада	Влада		Ралко	
-156851	П	Подервянский Александр	Александр		Подервянский	
-156850	М	Марущенко Виктор	Виктор		Марущенко	
-156849	М	Манн Олекса	Олекса		Манн	
-156848	М	Малкович Иван	Иван		Малкович	
-156847	К	Коваль Александра	Александра		Коваль	
-156846	К	Кириченко Владислав	Владислав		Кириченко	
-156845	К	Карась Евгений	Евгений		Карась	
-156844	И	Издрык Юрий	Юрий		Издрык	
-156843	З	Залевский Алексей	Алексей		Залевский	
-156842	Д	Доний Александр	Александр		Доний	
-156841	Д	Димшиц Эдуард	Эдуард		Димшиц	
-156840	Г	Горбачев Дмитрий	Дмитрий		Горбачев	
-156839	В	Волязловский Стас	Стас		Волязловский	
-156838	В	Васильєв Сергей	Сергей		Васильєв	
-156837	Б	Бебешко Владимир	Владимир		Бебешко	
-156836	А	Андрухович Юрий	Юрий		Андрухович	
-156835	М	Мухарский Антон	Антон		Мухарский	
-156733	У	УПЦ КП	УПЦ КП			
-156659	Б	БОРҐАРДТ Олександр	Олександр		БОРҐАРДТ	
-156526	П	По Едґар Аллан	Едґар	Аллан	По	
-156496	Н	Ніколс Томас	Томас		Ніколс	
-156482	І	Ірвін Ялом	Ялом		Ірвін	
-156409	Д	Діккер Жоель	Жоель		Діккер	
-156285	Д	Дік СВААБ	СВААБ		Дік	
-156284	Ж	Жадан Ірина	Ірина		Жадан	
-156282	В	Варич Марина	Марина		Варич	
-156281	Л	Л. Вайт	Л. Вайт			
-156280	С	Старченко Наталія	Наталія		Старченко	
